Year,Lower Bound,Single,Married Filing Seperately,Married Filing Jointly,Head of Household
1913,0.0,0.01,0.01,0.01,0.01
1913,526471.4285714285,0.02,0.02,0.02,0.02
1913,1316178.5714285714,0.03,0.03,0.03,0.03
1913,1974267.857142857,0.04,0.04,0.04,0.04
1913,2632357.1428571427,0.05,0.05,0.05,0.05
1913,6580892.857142856,0.06,0.06,0.06,0.06
1913,13161785.714285713,0.07,0.07,0.07,0.07
1914,0.0,0.01,0.01,0.01,0.01
1914,515942.0,0.02,0.02,0.02,0.02
1914,1289855.0,0.03,0.03,0.03,0.03
1914,1934782.5,0.04,0.04,0.04,0.04
1914,2579710.0,0.05,0.05,0.05,0.05
1914,6449275.0,0.06,0.06,0.06,0.06
1914,12898550.0,0.07,0.07,0.07,0.07
1915,0.0,0.01,0.01,0.01,0.01
1915,510833.66336633667,0.02,0.02,0.02,0.02
1915,1277084.1584158416,0.03,0.03,0.03,0.03
1915,1915626.2376237623,0.04,0.04,0.04,0.04
1915,2554168.3168316833,0.05,0.05,0.05,0.05
1915,6385420.792079208,0.06,0.06,0.06,0.06
1915,12770841.584158417,0.07,0.07,0.07,0.07
1916,0.0,0.02,0.02,0.02,0.02
1916,496098.0769230769,0.03,0.03,0.03,0.03
1916,992196.1538461538,0.04,0.04,0.04,0.04
1916,1488294.2307692308,0.05,0.05,0.05,0.05
1916,1984392.3076923075,0.06,0.06,0.06,0.06
1916,2480490.3846153845,0.07,0.07,0.07,0.07
1916,3720735.576923077,0.08,0.08,0.08,0.08
1916,4960980.769230769,0.09,0.09,0.09,0.09
1916,6201225.961538461,0.1,0.1,0.1,0.1
1916,7441471.153846154,0.11,0.11,0.11,0.11
1916,12402451.923076922,0.12,0.12,0.12,0.12
1916,24804903.846153844,0.13,0.13,0.13,0.13
1916,37207355.76923077,0.14,0.14,0.14,0.14
1916,49609807.69230769,0.15,0.15,0.15,0.15
1917,0.0,0.02,0.02,0.02,0.02
1917,44097.60683760684,0.04,0.04,0.04,0.04
1917,110244.0170940171,0.05,0.05,0.05,0.05
1917,165366.02564102566,0.06,0.06,0.06,0.06
1917,220488.0341880342,0.07,0.07,0.07,0.07
1917,275610.04273504275,0.08,0.08,0.08,0.08
1917,330732.0512820513,0.09,0.09,0.09,0.09
1917,440976.0683760684,0.12,0.12,0.12,0.12
1917,881952.1367521368,0.16,0.16,0.16,0.16
1917,1322928.2051282052,0.21,0.21,0.21,0.21
1917,1763904.2735042735,0.26,0.26,0.26,0.26
1917,2204880.341880342,0.31,0.31,0.31,0.31
1917,3307320.512820513,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003
1917,4409760.683760684,0.41,0.41,0.41,0.41
1917,5512200.854700855,0.46,0.46,0.46,0.46
1917,6614641.025641026,0.5,0.5,0.5,0.5
1917,11024401.70940171,0.54,0.54,0.54,0.54
1917,16536602.564102566,0.59,0.59,0.59,0.59
1917,22048803.41880342,0.65,0.65,0.65,0.65
1917,33073205.12820513,0.66,0.66,0.66,0.66
1917,44097606.83760684,0.67,0.67,0.67,0.67
1918,0.0,0.06,0.06,0.06,0.06
1918,73706.0,0.12,0.12,0.12,0.12
1918,92132.5,0.13,0.13,0.13,0.13
1918,110559.0,0.14,0.14,0.14,0.14
1918,147412.0,0.15,0.15,0.15,0.15
1918,184265.0,0.16,0.16,0.16,0.16
1918,221118.0,0.17,0.17,0.17,0.17
1918,257971.0,0.18,0.18,0.18,0.18
1918,294824.0,0.19,0.19,0.19,0.19
1918,331677.0,0.2,0.2,0.2,0.2
1918,368530.0,0.21,0.21,0.21,0.21
1918,405383.0,0.22,0.22,0.22,0.22
1918,442236.0,0.23,0.23,0.23,0.23
1918,479089.0,0.24,0.24,0.24,0.24
1918,515942.0,0.25,0.25,0.25,0.25
1918,552795.0,0.26,0.26,0.26,0.26
1918,589648.0,0.27,0.27,0.27,0.27
1918,626501.0,0.28,0.28,0.28,0.28
1918,663354.0,0.29,0.29,0.29,0.29
1918,700207.0,0.3,0.3,0.3,0.3
1918,737060.0,0.31,0.31,0.31,0.31
1918,773913.0,0.32,0.32,0.32,0.32
1918,810766.0,0.33,0.33,0.33,0.33
1918,847619.0,0.34,0.34,0.34,0.34
1918,884472.0,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003
1918,921325.0,0.36,0.36,0.36,0.36
1918,958178.0,0.37,0.37,0.37,0.37
1918,995031.0,0.38,0.38,0.38,0.38
1918,1031884.0,0.39,0.39,0.39,0.39
1918,1068737.0,0.4,0.4,0.4,0.4
1918,1105590.0,0.41,0.41,0.41,0.41
1918,1142443.0,0.42,0.42,0.42,0.42
