Year,Lower Bound,Single,Married Filing Seperately,Married Filing Jointly,Head of Household
1913,0.0,0.01,0.01,0.01,0.01
1913,20000.0,0.02,0.02,0.02,0.02
1913,50000.0,0.03,0.03,0.03,0.03
1913,75000.0,0.04,0.04,0.04,0.04
1913,100000.0,0.05,0.05,0.05,0.05
1913,250000.0,0.06,0.06,0.06,0.06
1913,500000.0,0.07,0.07,0.07,0.07
1914,0.0,0.01,0.01,0.01,0.01
1914,20000.0,0.02,0.02,0.02,0.02
1914,50000.0,0.03,0.03,0.03,0.03
1914,75000.0,0.04,0.04,0.04,0.04
1914,100000.0,0.05,0.05,0.05,0.05
1914,250000.0,0.06,0.06,0.06,0.06
1914,500000.0,0.07,0.07,0.07,0.07
1915,0.0,0.01,0.01,0.01,0.01
1915,20000.0,0.02,0.02,0.02,0.02
1915,50000.0,0.03,0.03,0.03,0.03
1915,75000.0,0.04,0.04,0.04,0.04
1915,100000.0,0.05,0.05,0.05,0.05
1915,250000.0,0.06,0.06,0.06,0.06
1915,500000.0,0.07,0.07,0.07,0.07
1916,0.0,0.02,0.02,0.02,0.02
1916,20000.0,0.03,0.03,0.03,0.03
1916,40000.0,0.04,0.04,0.04,0.04
1916,60000.0,0.05,0.05,0.05,0.05
1916,80000.0,0.06,0.06,0.06,0.06
1916,100000.0,0.07,0.07,0.07,0.07
1916,150000.0,0.08,0.08,0.08,0.08
1916,200000.0,0.09,0.09,0.09,0.09
1916,250000.0,0.1,0.1,0.1,0.1
1916,300000.0,0.11,0.11,0.11,0.11
1916,500000.0,0.12,0.12,0.12,0.12
1916,1000000.0,0.13,0.13,0.13,0.13
1916,1500000.0,0.14,0.14,0.14,0.14
1916,2000000.0,0.15,0.15,0.15,0.15
1917,0.0,0.02,0.02,0.02,0.02
1917,2000.0,0.04,0.04,0.04,0.04
1917,5000.0,0.05,0.05,0.05,0.05
1917,7500.0,0.06,0.06,0.06,0.06
1917,10000.0,0.07,0.07,0.07,0.07
1917,12500.0,0.08,0.08,0.08,0.08
1917,15000.0,0.09,0.09,0.09,0.09
1917,20000.0,0.12,0.12,0.12,0.12
1917,40000.0,0.16,0.16,0.16,0.16
1917,60000.0,0.21,0.21,0.21,0.21
1917,80000.0,0.26,0.26,0.26,0.26
1917,100000.0,0.31,0.31,0.31,0.31
1917,150000.0,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003
1917,200000.0,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003
1917,250000.0,0.46,0.46,0.46,0.46
1917,300000.0,0.5,0.5,0.5,0.5
1917,500000.0,0.54,0.54,0.54,0.54
1917,750000.0,0.59,0.59,0.59,0.59
1917,1000000.0,0.65,0.65,0.65,0.65
1917,1500000.0,0.66,0.66,0.66,0.66
1917,2000000.0,0.67,0.67,0.67,0.67
1918,0.0,0.06,0.06,0.06,0.06
1918,4000.0,0.12,0.12,0.12,0.12
1918,5000.0,0.13,0.13,0.13,0.13
1918,6000.0,0.14,0.14,0.14,0.14
1918,8000.0,0.15,0.15,0.15,0.15
1918,10000.0,0.16,0.16,0.16,0.16
1918,12000.0,0.17,0.17,0.17,0.17
1918,14000.0,0.18,0.18,0.18,0.18
1918,16000.0,0.19,0.19,0.19,0.19
1918,18000.0,0.2,0.2,0.2,0.2
1918,20000.0,0.21,0.21,0.21,0.21
1918,22000.0,0.22,0.22,0.22,0.22
1918,24000.0,0.23,0.23,0.23,0.23
