Year,Status,Income Level,Marginal Tax Rate
1913,Head of Household,20000,0.01
1913,Head of Household,30000,0.01
1913,Head of Household,40000,0.01
1913,Head of Household,50000,0.01
1913,Head of Household,70000,0.01
1913,Head of Household,100000,0.01
1913,Head of Household,150000,0.01
1913,Head of Household,200000,0.01
1913,Head of Household,250000,0.01
1913,Head of Household,300000,0.01
1913,Head of Household,500000,0.01
1913,Head of Household,800000,0.02
1913,Head of Household,1000000,0.02
1913,Head of Household,1500000,0.03
1913,Head of Household,2000000,0.04
1913,Head of Household,5000000,0.05
1913,Head of Household,10000000,0.06
1913,Head of Household,20000000,0.07
1913,Head of Household,50000000,0.07
1913,Head of Household,100000000,0.07
1913,Head of Household,500000000,0.07
1913,Head of Household,1000000000,0.07
1913,Married Filing Jointly,20000,0.01
1913,Married Filing Jointly,30000,0.01
1913,Married Filing Jointly,40000,0.01
1913,Married Filing Jointly,50000,0.01
1913,Married Filing Jointly,70000,0.01
1913,Married Filing Jointly,100000,0.01
1913,Married Filing Jointly,150000,0.01
1913,Married Filing Jointly,200000,0.01
1913,Married Filing Jointly,250000,0.01
1913,Married Filing Jointly,300000,0.01
1913,Married Filing Jointly,500000,0.01
1913,Married Filing Jointly,800000,0.02
1913,Married Filing Jointly,1000000,0.02
1913,Married Filing Jointly,1500000,0.03
1913,Married Filing Jointly,2000000,0.04
1913,Married Filing Jointly,5000000,0.05
1913,Married Filing Jointly,10000000,0.06
1913,Married Filing Jointly,20000000,0.07
1913,Married Filing Jointly,50000000,0.07
1913,Married Filing Jointly,100000000,0.07
1913,Married Filing Jointly,500000000,0.07
1913,Married Filing Jointly,1000000000,0.07
1913,Married Filing Seperately,20000,0.01
1913,Married Filing Seperately,30000,0.01
1913,Married Filing Seperately,40000,0.01
1913,Married Filing Seperately,50000,0.01
1913,Married Filing Seperately,70000,0.01
1913,Married Filing Seperately,100000,0.01
1913,Married Filing Seperately,150000,0.01
1913,Married Filing Seperately,200000,0.01
1913,Married Filing Seperately,250000,0.01
1913,Married Filing Seperately,300000,0.01
1913,Married Filing Seperately,500000,0.01
1913,Married Filing Seperately,800000,0.02
1913,Married Filing Seperately,1000000,0.02
1913,Married Filing Seperately,1500000,0.03
1913,Married Filing Seperately,2000000,0.04
1913,Married Filing Seperately,5000000,0.05
1913,Married Filing Seperately,10000000,0.06
1913,Married Filing Seperately,20000000,0.07
1913,Married Filing Seperately,50000000,0.07
1913,Married Filing Seperately,100000000,0.07
1913,Married Filing Seperately,500000000,0.07
1913,Married Filing Seperately,1000000000,0.07
1913,Single,20000,0.01
1913,Single,30000,0.01
1913,Single,40000,0.01
1913,Single,50000,0.01
1913,Single,70000,0.01
1913,Single,100000,0.01
1913,Single,150000,0.01
1913,Single,200000,0.01
1913,Single,250000,0.01
1913,Single,300000,0.01
1913,Single,500000,0.01
1913,Single,800000,0.02
1913,Single,1000000,0.02
1913,Single,1500000,0.03
1913,Single,2000000,0.04
1913,Single,5000000,0.05
1913,Single,10000000,0.06
1913,Single,20000000,0.07
1913,Single,50000000,0.07
1913,Single,100000000,0.07
1913,Single,500000000,0.07
1913,Single,1000000000,0.07
1914,Head of Household,20000,0.01
1914,Head of Household,30000,0.01
1914,Head of Household,40000,0.01
1914,Head of Household,50000,0.01
1914,Head of Household,70000,0.01
1914,Head of Household,100000,0.01
1914,Head of Household,150000,0.01
1914,Head of Household,200000,0.01
1914,Head of Household,250000,0.01
1914,Head of Household,300000,0.01
1914,Head of Household,500000,0.01
1914,Head of Household,800000,0.02
1914,Head of Household,1000000,0.02
1914,Head of Household,1500000,0.03
1914,Head of Household,2000000,0.04
1914,Head of Household,5000000,0.05
1914,Head of Household,10000000,0.06
1914,Head of Household,20000000,0.07
1914,Head of Household,50000000,0.07
1914,Head of Household,100000000,0.07
1914,Head of Household,500000000,0.07
1914,Head of Household,1000000000,0.07
1914,Married Filing Jointly,20000,0.01
1914,Married Filing Jointly,30000,0.01
1914,Married Filing Jointly,40000,0.01
1914,Married Filing Jointly,50000,0.01
1914,Married Filing Jointly,70000,0.01
1914,Married Filing Jointly,100000,0.01
1914,Married Filing Jointly,150000,0.01
1914,Married Filing Jointly,200000,0.01
1914,Married Filing Jointly,250000,0.01
1914,Married Filing Jointly,300000,0.01
1914,Married Filing Jointly,500000,0.01
1914,Married Filing Jointly,800000,0.02
1914,Married Filing Jointly,1000000,0.02
1914,Married Filing Jointly,1500000,0.03
1914,Married Filing Jointly,2000000,0.04
1914,Married Filing Jointly,5000000,0.05
1914,Married Filing Jointly,10000000,0.06
1914,Married Filing Jointly,20000000,0.07
1914,Married Filing Jointly,50000000,0.07
1914,Married Filing Jointly,100000000,0.07
1914,Married Filing Jointly,500000000,0.07
1914,Married Filing Jointly,1000000000,0.07
1914,Married Filing Seperately,20000,0.01
1914,Married Filing Seperately,30000,0.01
1914,Married Filing Seperately,40000,0.01
1914,Married Filing Seperately,50000,0.01
1914,Married Filing Seperately,70000,0.01
1914,Married Filing Seperately,100000,0.01
1914,Married Filing Seperately,150000,0.01
1914,Married Filing Seperately,200000,0.01
1914,Married Filing Seperately,250000,0.01
1914,Married Filing Seperately,300000,0.01
1914,Married Filing Seperately,500000,0.01
1914,Married Filing Seperately,800000,0.02
1914,Married Filing Seperately,1000000,0.02
1914,Married Filing Seperately,1500000,0.03
1914,Married Filing Seperately,2000000,0.04
1914,Married Filing Seperately,5000000,0.05
1914,Married Filing Seperately,10000000,0.06
1914,Married Filing Seperately,20000000,0.07
1914,Married Filing Seperately,50000000,0.07
1914,Married Filing Seperately,100000000,0.07
1914,Married Filing Seperately,500000000,0.07
1914,Married Filing Seperately,1000000000,0.07
1914,Single,20000,0.01
1914,Single,30000,0.01
1914,Single,40000,0.01
1914,Single,50000,0.01
1914,Single,70000,0.01
1914,Single,100000,0.01
1914,Single,150000,0.01
1914,Single,200000,0.01
1914,Single,250000,0.01
1914,Single,300000,0.01
1914,Single,500000,0.01
1914,Single,800000,0.02
1914,Single,1000000,0.02
1914,Single,1500000,0.03
1914,Single,2000000,0.04
1914,Single,5000000,0.05
1914,Single,10000000,0.06
1914,Single,20000000,0.07
1914,Single,50000000,0.07
1914,Single,100000000,0.07
1914,Single,500000000,0.07
1914,Single,1000000000,0.07
1915,Head of Household,20000,0.01
1915,Head of Household,30000,0.01
1915,Head of Household,40000,0.01
1915,Head of Household,50000,0.01
1915,Head of Household,70000,0.01
1915,Head of Household,100000,0.01
1915,Head of Household,150000,0.01
1915,Head of Household,200000,0.01
1915,Head of Household,250000,0.01
1915,Head of Household,300000,0.01
1915,Head of Household,500000,0.01
1915,Head of Household,800000,0.02
1915,Head of Household,1000000,0.02
1915,Head of Household,1500000,0.03
1915,Head of Household,2000000,0.04
1915,Head of Household,5000000,0.05
1915,Head of Household,10000000,0.06
1915,Head of Household,20000000,0.07
1915,Head of Household,50000000,0.07
1915,Head of Household,100000000,0.07
1915,Head of Household,500000000,0.07
1915,Head of Household,1000000000,0.07
1915,Married Filing Jointly,20000,0.01
1915,Married Filing Jointly,30000,0.01
1915,Married Filing Jointly,40000,0.01
1915,Married Filing Jointly,50000,0.01
1915,Married Filing Jointly,70000,0.01
1915,Married Filing Jointly,100000,0.01
1915,Married Filing Jointly,150000,0.01
1915,Married Filing Jointly,200000,0.01
1915,Married Filing Jointly,250000,0.01
1915,Married Filing Jointly,300000,0.01
1915,Married Filing Jointly,500000,0.01
1915,Married Filing Jointly,800000,0.02
1915,Married Filing Jointly,1000000,0.02
1915,Married Filing Jointly,1500000,0.03
1915,Married Filing Jointly,2000000,0.04
1915,Married Filing Jointly,5000000,0.05
1915,Married Filing Jointly,10000000,0.06
1915,Married Filing Jointly,20000000,0.07
1915,Married Filing Jointly,50000000,0.07
1915,Married Filing Jointly,100000000,0.07
1915,Married Filing Jointly,500000000,0.07
1915,Married Filing Jointly,1000000000,0.07
1915,Married Filing Seperately,20000,0.01
1915,Married Filing Seperately,30000,0.01
1915,Married Filing Seperately,40000,0.01
1915,Married Filing Seperately,50000,0.01
1915,Married Filing Seperately,70000,0.01
1915,Married Filing Seperately,100000,0.01
1915,Married Filing Seperately,150000,0.01
1915,Married Filing Seperately,200000,0.01
1915,Married Filing Seperately,250000,0.01
1915,Married Filing Seperately,300000,0.01
1915,Married Filing Seperately,500000,0.01
1915,Married Filing Seperately,800000,0.02
1915,Married Filing Seperately,1000000,0.02
1915,Married Filing Seperately,1500000,0.03
1915,Married Filing Seperately,2000000,0.04
1915,Married Filing Seperately,5000000,0.05
1915,Married Filing Seperately,10000000,0.06
1915,Married Filing Seperately,20000000,0.07
1915,Married Filing Seperately,50000000,0.07
1915,Married Filing Seperately,100000000,0.07
1915,Married Filing Seperately,500000000,0.07
1915,Married Filing Seperately,1000000000,0.07
1915,Single,20000,0.01
1915,Single,30000,0.01
1915,Single,40000,0.01
1915,Single,50000,0.01
1915,Single,70000,0.01
1915,Single,100000,0.01
1915,Single,150000,0.01
1915,Single,200000,0.01
1915,Single,250000,0.01
1915,Single,300000,0.01
1915,Single,500000,0.01
1915,Single,800000,0.02
1915,Single,1000000,0.02
1915,Single,1500000,0.03
1915,Single,2000000,0.04
1915,Single,5000000,0.05
1915,Single,10000000,0.06
1915,Single,20000000,0.07
1915,Single,50000000,0.07
1915,Single,100000000,0.07
1915,Single,500000000,0.07
1915,Single,1000000000,0.07
1916,Head of Household,20000,0.02
1916,Head of Household,30000,0.02
1916,Head of Household,40000,0.02
1916,Head of Household,50000,0.02
1916,Head of Household,70000,0.02
1916,Head of Household,100000,0.02
1916,Head of Household,150000,0.02
1916,Head of Household,200000,0.02
1916,Head of Household,250000,0.02
1916,Head of Household,300000,0.02
1916,Head of Household,500000,0.03
